20
3001
CHEMOKINES	0	678139.9999160767
0	1	1	18	1
0	2	1	19	3.3333333333333335
0	3	1	18	4.5
0	4	1	18	7
0	5	1	18	9
0	6	1	18	11
0	7	1	18	12.5
0	8	1	18.666666666666668	14
0	9	1	20.666666666666668	1.3333333333333333
0	10	1	20.5	3
0	11	1	19.666666666666668	5
0	12	1	20	7
0	13	1	20	9
0	14	1	20.25	11
0	15	1	20	13
0	16	1	20	14.5
0	17	1	22	1
0	18	1	22	3
0	19	1	22	4.666666666666667
0	20	1	21.5	6.5
CHEMOKINES	1	677717.9999008179
1	1	1	18.5	1.5
1	2	1	19.5	3.5
1	3	1	18	4
1	4	1	18	7
1	5	1	18	8.5
1	6	1	18	11
1	7	1	18	12.5
1	8	1	19	14.25
1	9	1	20.666666666666668	1.3333333333333333
1	10	1	20.333333333333332	2.6666666666666665
1	11	1	20	4.75
1	12	1	20	7
1	13	1	19.333333333333332	8.666666666666666
1	14	1	20.333333333333332	10.666666666666668
1	15	1	20.5	13.5
1	16	1	21	14.333333333333334
1	17	1	22.666666666666668	1.3333333333333333
1	18	1	22	3
1	19	1	23.71428571428571	5.142857142857142
1	20	1	22	6.4
CHEMOKINES	2	677089.0000915527
2	1	1	18.5	1.5
2	2	1	19.666666666666668	4
2	3	1	18	3.5
2	4	1	18	6.5
2	5	1	18.333333333333332	8.333333333333334
2	6	1	18.333333333333332	11
2	7	1	18	12.5
2	8	1	18.857142857142854	14.142857142857142
2	9	1	20.5	1.5
2	10	1	20	2.25
2	11	1	20.5	4.5
2	12	1	20.666666666666668	6.666666666666667
2	13	1	20.2	8.6
2	14	1	20.375	10.875
2	15	1	21	14
2	16	1	20.75	14.75
2	17	1	22.666666666666668	1.3333333333333333
2	18	1	22	2.5
2	19	1	24.142857142857142	5.285714285714286
2	20	1	22.875	6.375
CHEMOKINES	3	676352.0000610352
3	1	1	18.5	1.5
3	2	1	19.5	4.25
3	3	1	18.2	4
3	4	1	18.333333333333332	6.666666666666667
3	5	1	18.333333333333332	8.333333333333334
3	6	1	18.333333333333332	11
3	7	1	18	12.5
3	8	1	18.999999999999996	14
3	9	1	21	1.6666666666666667
3	10	1	20	2.3333333333333335
3	11	1	20.5	4.5
3	12	1	21.2	6.2
3	13	1	20.57142857142857	8.857142857142856
3	14	1	20.625	11.125
3	15	1	21	13.5
3	16	1	20.75	14.75
3	17	1	22.666666666666668	1.3333333333333333
3	18	1	22.5	2.8333333333333335
3	19	1	24.875	5.75
3	20	1	23.22222222222222	6.555555555555555
CHEMOKINES	4	675534.0001220703
4	1	1	19	1.3333333333333333
4	2	1	19.2	4.2
4	3	1	18.25	4
4	4	1	18.333333333333332	6.666666666666667
4	5	1	18.333333333333332	8.333333333333334
4	6	1	18.5	10.75
4	7	1	18.333333333333332	12
4	8	1	19	14.125
4	9	1	22	2.3333333333333335
4	10	1	20	2.25
4	11	1	20.5	4.5
4	12	1	21.625	6.5
4	13	1	21	8.875
4	14	1	21.4	11.4
4	15	1	21	13
4	16	1	20.666666666666664	14.666666666666668
4	17	1	22.666666666666668	1.3333333333333333
4	18	1	23.166666666666668	3.1666666666666665
4	19	1	25.333333333333332	6.444444444444445
4	20	1	24.333333333333332	6.555555555555555
CHEMOKINES	5	674598.9996337891
5	1	1	19.25	1.5
5	2	1	19.75	4.5
5	3	1	18.2	4
5	4	1	19.8	6.8
5	5	1	18.25	8
5	6	1	19.2	12
5	7	1	18.75	12
5	8	1	19.11111111111111	13.777777777777779
5	9	1	21.8	3.4
5	10	1	21	2.25
5	11	1	20.4	4.4
5	12	1	21.8	6.8
5	13	1	21.25	8.75
5	14	1	22	11.333333333333334
5	15	1	20.57142857142857	12.142857142857144
5	16	1	21.142857142857146	14.714285714285715
5	17	1	23	1.25
5	18	1	23.8	3.4
5	19	1	26.769230769230766	6.538461538461538
5	20	1	24.2	6.7
CHEMOKINES	6	673609.999382019
6	1	1	19.333333333333332	1.3333333333333333
6	2	1	19.75	4.5
6	3	1	18.2	4
6	4	1	20	7.2
6	5	1	18	7.5
6	6	1	19.666666666666664	12.5
6	7	1	18.75	12
6	8	1	19.11111111111111	13.777777777777779
6	9	1	21.71428571428571	3.142857142857143
6	10	1	21	2.5
6	11	1	20.4	4.2
6	12	1	22.166666666666668	6.833333333333333
6	13	1	22.428571428571427	8.857142857142856
6	14	1	22	11.333333333333334
6	15	1	20.333333333333332	11.666666666666668
6	16	1	21.142857142857146	14.714285714285715
6	17	1	23	1
6	18	1	24.285714285714285	3.5714285714285716
6	19	1	27.1875	6.75
6	20	1	24.000000000000004	7
CHEMOKINES	7	672494.999256134
7	1	1	19.333333333333332	1.3333333333333333
7	2	1	19.5	3.75
7	3	1	18.5	4.5
7	4	1	20.57142857142857	6.714285714285714
7	5	1	18.666666666666664	6.5
7	6	1	19.666666666666664	12.5
7	7	1	18.75	12
7	8	1	19.333333333333332	14
7	9	1	22	3
7	10	1	21.5	2.833333333333333
7	11	1	21.4	4.6
7	12	1	22.833333333333336	7.5
7	13	1	23	9.142857142857142
7	14	1	21.714285714285715	12.285714285714286
7	15	1	20.500000000000004	11.375
